NOME,FASE_2023,TURMA_2023,INSTITUICAO_ENSINO_ALUNO_2023,PEDRA_2023,INDE_2023,IAA_2023,IEG_2023,IPS_2023,IDA_2023,IPP_2023,PONTO_VIRADA_2023,IPV_2023,IAN_2023,NIVEL_IDEAL_2023,DEFASAGEM_2023
Aluno-861,ALFA,ALFA A - G0/G1,Pública,Topázio,"9,31095","9,5","10,0","8,13","9,6","8,44",,"8,92",10,ALFA (1° e 2° ano),0
Aluno-862,ALFA,ALFA A - G0/G1,Pública,Topázio,"8,2212","8,5","9,1","8,14","8,9","7,50",,"8,59",5,Fase 1 (3° e 4° ano),-1
Aluno-863,ALFA,ALFA A - G0/G1,Pública,Quartzo,"5,92975","0,0","7,6","3,14","6,3","5,94",,"6,26",10,ALFA (1° e 2° ano),0
Aluno-864,ALFA,ALFA A - G0/G1,Pública,Ametista,"7,034","0,0","7,6","8,14","6,3","7,50",,"8,50",10,ALFA (1° e 2° ano),0
Aluno-865,ALFA,ALFA A - G0/G1,Pública,Topázio,"8,1552","8,5","8,7","7,52","7,4","7,50",,"7,92",10,ALFA (1° e 2° ano),0
Aluno-866,ALFA,ALFA A - G0/G1,Pública,Ametista,"7,679","0,0","8,3","8,76","8,6","7,50",,"8,42",10,ALFA (1° e 2° ano),0
Aluno-867,ALFA,ALFA A - G0/G1,Pública,Topázio,"8,6992","9,0","8,6","8,76","8,9","7,50",,"8,42",10,ALFA (1° e 2° ano),0
Aluno-868,ALFA,ALFA A - G0/G1,Pública,Topázio,"8,63895","10,0","9,5","8,76","7,1","7,19",,"8,67",10,ALFA (1° e 2° ano),0
Aluno-869,ALFA,ALFA A - G0/G1,Pública,Topázio,"9,2587","9,0","10,0","8,76","9,6","8,13",,"8,75",10,ALFA (1° e 2° ano),0
Aluno-870,ALFA,ALFA A - G0/G1,Pública,Quartzo,"4,909","0,0","8,5","8,76","1,5","5,00",,"5,17",5,Fase 1 (3° e 4° ano),-1
Aluno-871,ALFA,ALFA B - G2/G3,Pública,Agata,"6,8617","9,0","9,5","3,76","6,9","4,38",,"6,84",5,Fase 1 (3° e 4° ano),-1
Aluno-872,ALFA,ALFA B - G2/G3,Pública,Quartzo,"5,267","0,0","6,7","2,52","4,3","6,25",,"8,50",5,Fase 2 (5° e 6° ano),-2
Aluno-873,ALFA,ALFA B - G2/G3,Pública,Ametista,"7,8012","8,5","9,7","7,52","7,0","6,25",,"8,67",5,Fase 2 (5° e 6° ano),-2
Aluno-874,ALFA,ALFA B - G2/G3,Pública,Quartzo,"5,811","0,0","8,2","7,52","4,8","6,25",,"6,67",5,Fase 1 (3° e 4° ano),-1
Aluno-875,ALFA,ALFA B - G2/G3,Pública,Topázio,"8,2712","9,5","9,5","7,52","7,3","7,50",,"9,85",5,Fase 1 (3° e 4° ano),-1
Aluno-876,ALFA,ALFA B - G2/G3,Pública,Topázio,"8,6492","10,0","9,4","7,52","7,5","7,50",,"8,84",10,ALFA (1° e 2° ano),0
Aluno-877,ALFA,ALFA B - G2/G3,Pública,Ametista,"7,4722","9,5","9,5","7,52","6,9","5,00",,"7,50",5,Fase 1 (3° e 4° ano),-1
Aluno-878,ALFA,ALFA B - G2/G3,Pública,Agata,"6,24","0,0","9,5","2,52","8,1","5,00",,"7,34",5,Fase 2 (5° e 6° ano),-2
Aluno-879,ALFA,ALFA B - G2/G3,Pública,Agata,"6,8225","0,0","9,8","2,52","8,2","6,88",,"8,92",5,Fase 1 (3° e 4° ano),-1
Aluno-880,ALFA,ALFA B - G2/G3,Pública,Agata,"6,724","0,0","9,4","2,52","6,3","6,25",,"8,59",10,ALFA (1° e 2° ano),0
Aluno-881,ALFA,ALFA B - G2/G3,Pública,Ametista,"7,7322","10,0","8,9","7,52","7,3","5,00",,"6,25",10,ALFA (1° e 2° ano),0
Aluno-882,ALFA,ALFA C - G0/G1,Pública,Agata,"6,0092","9,0","8,6","2,52","4,7","3,75",,"4,16",10,ALFA (1° e 2° ano),0
Aluno-883,ALFA,ALFA C - G0/G1,Pública,Topázio,"8,5082","9,5","9,7","6,89","8,4","6,25",,"8,17",10,ALFA (1° e 2° ano),0
