NOME,ANO,FASE,IAA,IAN,IDA,IDADE,IEG,INDE,INGRESSANTE,IPP,IPS,IPV,PEDRA
ALUNO-1,2022,7,8.3,5.0,4.0,19.0,4.1,5.783,0,0.0,5.6,7.278,QUARTZO
ALUNO-2,2022,7,8.8,10.0,6.8,17.0,5.2,7.055,0,0.0,6.3,6.778,AMETISTA
ALUNO-3,2022,7,0.0,10.0,5.6,17.0,7.9,6.591,0,0.0,5.6,7.556,ÁGATA
ALUNO-4,2022,7,8.8,10.0,5.0,17.0,4.5,5.951,0,0.0,5.6,5.278,QUARTZO
ALUNO-5,2022,7,7.9,10.0,5.2,17.0,8.6,7.427,0,0.0,5.6,7.389,AMETISTA
ALUNO-6,2022,7,7.9,5.0,3.3,18.0,4.5,5.848,0,0.0,7.5,7.222,QUARTZO
ALUNO-7,2022,7,0.0,5.0,7.6,18.0,8.4,6.818,0,0.0,7.5,7.667,ÁGATA
ALUNO-8,2022,7,7.1,5.0,1.6,20.0,4.6,4.786,0,0.0,6.3,6.278,QUARTZO
ALUNO-9,2022,7,8.8,5.0,6.7,18.0,9.5,8.109,0,0.0,7.5,9.5,TOPÁZIO
ALUNO-10,2022,7,8.3,5.0,4.1,18.0,5.2,5.784,0,0.0,5.0,7.056,QUARTZO
ALUNO-11,2022,7,9.2,5.0,3.0,18.0,4.2,5.323,0,0.0,5.0,6.389,QUARTZO
ALUNO-12,2022,7,0.0,10.0,1.5,17.0,4.0,4.832,0,0.0,6.9,6.389,QUARTZO
ALUNO-13,2022,7,7.9,5.0,4.7,18.0,7.4,6.902,0,0.0,7.5,8.056,ÁGATA
ALUNO-14,2022,7,7.9,5.0,4.0,21.0,8.3,6.793,1,0.0,7.5,7.75,ÁGATA
ALUNO-15,2022,7,8.8,5.0,7.3,18.0,10.0,7.783,1,0.0,7.5,7.292,AMETISTA
ALUNO-16,2022,7,7.9,5.0,3.5,19.0,8.3,6.112,1,0.0,5.0,6.333,ÁGATA
ALUNO-17,2022,7,8.8,5.0,7.8,20.0,10.0,8.068,1,0.0,7.5,8.292,TOPÁZIO
ALUNO-18,2022,7,6.3,5.0,9.0,19.0,8.7,7.226,1,0.0,6.3,6.875,AMETISTA
ALUNO-19,2022,7,7.9,5.0,8.0,19.0,9.5,7.665,1,0.0,7.5,7.0,AMETISTA
ALUNO-20,2022,7,7.1,5.0,7.8,19.0,10.0,7.535,1,0.0,6.3,7.167,AMETISTA
